age,daily_hours,skill_count,habit_strength,openness,conscientiousness,extraversion,agreeableness,emotional_stability,field,success_probability
29,11,19,191,63,64,81,99,62,Technology,100.0
43,2,21,58,46,56,78,49,92,Technology,100.0
25,1,7,10,71,52,80,85,91,Creative,97.85
33,8,19,27,40,53,76,95,67,Research,100.0
21,1,8,166,94,78,32,61,39,Business,81.71
18,7,23,41,89,46,37,94,86,Research,100.0
20,8,23,196,47,93,96,80,37,Business,100.0
33,4,20,174,93,60,43,84,77,Business,100.0
24,10,7,170,62,60,48,48,65,Technology,100.0
32,5,20,20,81,41,96,41,49,Technology,100.0
22,6,9,62,83,74,53,59,88,Business,100.0
35,3,17,23,48,79,95,54,51,Research,100.0
31,4,13,107,62,76,99,47,71,Creative,98.02
22,9,6,131,51,62,56,86,60,Business,96.47
44,8,2,21,84,96,82,39,74,Technology,94.67
43,2,22,116,40,90,82,65,55,Technology,100.0
38,11,8,20,75,88,88,68,83,Business,100.0
39,5,24,42,97,75,49,91,55,Business,100.0
38,9,9,49,56,40,90,72,71,Technology,100.0
22,3,6,107,51,58,73,88,78,Technology,74.8
34,10,23,56,51,55,37,50,99,Creative,100.0
32,11,9,118,65,86,61,39,45,Research,100.0
34,7,21,95,97,46,43,36,38,Research,100.0
37,7,3,155,98,81,46,43,60,Creative,100.0
20,2,3,46,82,79,84,68,44,Creative,85.78
42,2,1,25,84,81,95,84,71,Business,81.07
44,7,13,150,57,71,68,75,58,Business,100.0
29,9,10,167,64,78,34,94,78,Research,100.0
30,8,18,77,57,76,54,77,94,Technology,100.0
34,9,24,149,98,97,66,90,72,Creative,100.0
23,7,24,72,85,63,40,91,54,Research,100.0
38,3,13,119,49,82,86,70,32,Creative,92.64
23,5,5,63,86,62,78,38,49,Business,70.61
20,2,18,71,56,63,32,61,42,Creative,93.42
32,9,9,77,53,76,40,85,96,Research,100.0
22,11,2,133,54,77,34,77,47,Business,100.0
22,5,13,90,89,79,74,91,87,Research,100.0
44,1,6,156,55,79,88,88,77,Technology,72.15
30,11,13,98,92,81,92,56,67,Creative,100.0
28,5,7,168,57,75,31,41,68,Business,94.47
30,11,17,26,79,70,89,93,64,Creative,100.0
27,9,2,72,67,99,66,51,97,Creative,100.0
21,2,4,26,51,61,46,39,94,Business,73.96
35,4,3,189,51,46,58,40,62,Business,68.22
32,3,11,67,62,65,75,58,33,Technology,91.19
28,4,2,184,53,59,51,56,96,Technology,81.86
29,8,21,56,55,76,88,35,48,Technology,100.0
43,6,15,171,74,88,54,53,41,Business,100.0
32,11,8,69,85,64,46,82,37,Research,100.0
24,3,12,190,63,99,32,49,75,Research,89.35
42,7,17,135,83,59,38,67,77,Technology,100.0
38,5,2,97,47,50,93,50,47,Business,57.04
35,6,11,54,64,72,70,37,40,Business,91.64
29,9,14,169,54,55,83,49,62,Business,100.0
25,2,1,11,72,72,59,62,55,Business,73.76
32,2,10,128,83,88,90,96,35,Technology,81.47
23,9,7,169,80,89,37,79,91,Creative,100.0
24,11,20,141,45,97,51,55,32,Research,100.0
26,10,14,21,62,51,42,54,74,Research,100.0
40,5,23,41,90,83,99,47,51,Technology,100.0
41,9,3,165,49,90,64,90,83,Research,100.0
34,5,24,157,76,43,49,89,53,Business,100.0
34,3,9,173,97,92,95,63,65,Business,97.09
20,2,8,30,54,72,55,37,71,Creative,73.0
31,2,23,46,44,77,70,91,89,Technology,100.0
42,4,2,79,56,98,57,95,64,Technology,64.81
22,1,8,193,75,84,52,76,60,Research,84.9
33,10,10,85,69,80,30,34,49,Creative,100.0
28,1,22,37,96,82,66,76,66,Technology,100.0
32,6,12,198,59,89,31,66,49,Business,100.0
18,7,3,68,44,72,80,41,49,Technology,98.57
19,9,18,38,96,78,85,72,79,Research,100.0
29,6,20,160,84,91,79,37,30,Research,100.0
22,6,15,43,40,94,72,59,46,Business,100.0
25,8,17,85,66,47,75,97,62,Technology,100.0
38,5,9,99,67,41,93,99,92,Technology,83.76
18,9,16,22,48,92,60,97,33,Business,100.0
30,9,23,92,84,50,30,83,44,Technology,100.0
29,10,7,152,60,58,89,62,78,Creative,97.25
43,11,3,119,53,49,95,75,38,Research,81.29
38,10,8,57,41,45,57,55,54,Creative,94.12
32,4,15,52,87,62,99,75,72,Technology,98.35
38,7,11,89,86,92,44,54,65,Research,100.0
30,6,19,43,53,43,81,56,58,Research,100.0
20,8,16,115,75,69,47,31,78,Technology,100.0
28,7,12,83,78,52,60,92,85,Technology,100.0
27,10,24,45,59,43,36,83,30,Creative,100.0
44,7,22,127,60,61,38,55,38,Research,100.0
27,8,10,81,63,55,78,55,66,Creative,100.0
24,10,18,156,75,49,84,98,76,Technology,100.0
20,2,1,128,60,56,51,77,66,Research,57.6
28,10,9,87,52,96,54,31,93,Research,100.0
24,5,18,76,81,93,68,70,53,Creative,100.0
23,10,7,118,85,75,65,32,37,Technology,100.0
44,6,9,22,88,99,31,89,34,Creative,100.0
23,8,18,76,93,83,87,32,99,Business,100.0
40,2,6,44,73,62,59,37,51,Creative,84.19
40,10,23,153,51,56,45,41,37,Creative,100.0
20,7,19,113,93,44,94,59,50,Creative,100.0
24,1,21,25,51,77,43,65,52,Business,100.0
30,2,9,94,41,66,94,96,81,Business,100.0
40,6,3,159,82,54,89,41,78,Business,79.35
23,2,13,44,69,63,59,35,96,Creative,100.0
32,5,3,75,66,41,64,49,39,Technology,60.62
19,9,22,42,75,70,43,94,83,Business,100.0
26,6,13,126,73,47,50,97,54,Research,86.11
21,4,18,69,45,71,72,31,89,Research,100.0
19,11,18,168,95,54,38,50,57,Business,100.0
31,3,7,89,55,99,33,33,69,Technology,89.94
37,4,6,187,76,91,92,91,36,Research,82.79
39,7,5,95,44,94,31,91,50,Business,99.0
40,10,24,176,44,40,42,82,74,Creative,100.0
21,1,3,197,50,60,81,84,55,Business,56.45
35,8,3,189,68,77,71,50,71,Technology,92.62
34,9,17,129,48,80,30,31,89,Creative,100.0
43,8,21,37,50,94,63,37,88,Business,100.0
25,1,15,154,99,62,74,98,61,Creative,100.0
30,8,23,52,40,84,80,53,53,Technology,100.0
22,4,21,67,70,85,40,81,44,Research,100.0
28,10,5,14,69,93,37,93,39,Business,100.0
32,1,8,113,64,48,95,79,96,Technology,73.41
26,9,23,199,89,49,50,65,41,Research,100.0
25,2,22,22,92,71,45,61,61,Creative,100.0
26,9,8,68,53,99,51,59,73,Creative,100.0
36,1,24,158,74,97,61,68,41,Technology,100.0
38,8,14,113,85,46,52,51,51,Creative,100.0
30,2,2,38,60,54,81,56,79,Research,58.73
29,6,11,174,72,95,32,92,48,Research,100.0
24,9,5,120,47,81,87,45,30,Creative,90.63
27,2,11,19,60,85,56,95,70,Creative,89.2
30,9,20,173,61,81,87,83,41,Technology,100.0
33,3,23,79,95,58,87,33,33,Creative,100.0
27,8,22,163,76,77,83,50,67,Business,100.0
37,1,23,80,43,68,43,32,87,Research,100.0
37,4,24,33,73,69,48,60,89,Creative,100.0
36,6,24,118,51,69,87,60,93,Research,100.0
33,4,23,122,94,72,47,92,76,Research,100.0
18,1,6,13,59,87,76,44,99,Research,100.0
31,11,7,146,65,55,98,90,39,Business,100.0
39,6,17,118,90,92,48,71,64,Business,100.0
43,3,5,102,76,59,78,50,93,Technology,94.47
24,7,18,172,40,63,86,99,70,Business,100.0
31,9,20,161,64,75,59,53,59,Business,100.0
31,8,10,89,55,93,99,73,74,Creative,100.0
41,11,20,91,97,82,86,50,97,Business,100.0
32,2,24,157,63,54,77,50,71,Business,100.0
29,8,14,66,76,97,50,98,32,Research,100.0
36,3,21,137,51,96,90,70,62,Business,100.0
38,4,10,80,61,94,62,53,90,Technology,100.0
26,7,22,186,56,73,99,99,94,Business,100.0
38,5,2,31,87,96,95,45,80,Technology,94.56
32,8,6,197,98,49,93,92,78,Creative,100.0
24,5,20,163,43,85,44,43,56,Technology,100.0
43,1,2,162,95,42,73,71,35,Research,53.54
37,7,18,180,58,44,80,40,41,Business,99.94
26,4,5,94,47,94,38,76,44,Creative,78.36
31,8,18,51,99,59,99,41,31,Research,100.0
44,2,11,49,77,72,30,37,61,Creative,100.0
33,11,5,13,69,45,48,61,38,Creative,84.83
18,7,21,30,69,52,63,33,57,Business,100.0
43,11,23,137,66,44,54,32,97,Technology,100.0
22,3,9,125,77,89,35,89,73,Technology,100.0
28,2,15,117,83,48,32,59,50,Creative,83.28
26,3,15,91,97,50,86,52,77,Creative,99.71
39,1,5,117,50,69,44,64,62,Creative,65.79
20,8,24,165,86,78,99,49,30,Creative,100.0
40,7,3,13,97,64,76,67,44,Research,100.0
21,1,7,146,74,99,35,52,88,Research,94.17
19,8,14,47,53,75,91,64,48,Business,100.0
34,9,8,97,53,65,51,77,80,Research,100.0
27,3,9,37,59,84,92,48,76,Creative,99.42
21,8,17,39,48,72,81,43,82,Research,100.0
26,11,14,50,43,98,97,37,31,Technology,100.0
41,7,16,71,88,87,59,41,64,Research,100.0
31,2,21,158,44,87,49,96,73,Technology,100.0
26,4,3,74,47,84,76,69,83,Creative,100.0
31,9,19,35,91,68,51,50,80,Business,100.0
21,7,7,101,67,43,51,74,96,Business,100.0
29,2,24,171,66,94,30,67,35,Business,100.0
29,6,8,133,81,40,86,69,43,Research,71.54
33,4,24,186,52,77,78,75,91,Creative,100.0
34,10,11,63,80,48,66,78,70,Technology,100.0
41,5,19,68,78,94,70,68,42,Creative,100.0
18,8,12,28,51,47,90,41,90,Creative,100.0
18,10,7,17,64,66,75,59,76,Research,100.0
18,4,18,156,86,67,69,44,70,Research,100.0
19,9,10,60,50,52,39,43,80,Business,100.0
38,2,6,140,55,69,69,31,70,Business,70.0
29,3,11,74,94,84,91,78,54,Research,100.0
21,3,13,128,48,92,59,89,61,Research,98.52
20,9,23,113,50,87,61,86,62,Creative,100.0
22,7,4,174,95,40,94,76,49,Research,78.91
27,2,3,180,86,70,40,78,67,Creative,65.27
37,8,12,74,70,43,79,98,59,Creative,100.0
41,11,3,84,84,43,55,56,75,Business,99.81
36,2,6,68,54,92,59,71,66,Business,92.29
22,3,23,143,43,57,58,88,76,Business,98.38
33,6,4,78,76,80,78,42,63,Technology,83.21
39,5,23,188,42,81,61,80,75,Research,100.0
41,3,13,120,73,50,80,46,53,Business,92.98
36,5,7,94,47,67,34,46,65,Business,89.23
30,6,21,148,78,67,34,85,49,Technology,100.0
31,10,12,79,56,90,48,55,77,Creative,100.0
40,10,4,111,50,72,91,52,44,Research,94.59
28,9,19,188,92,53,80,76,33,Research,100.0
25,3,6,76,98,44,42,76,90,Research,85.06
40,2,22,102,61,82,96,83,39,Business,100.0
29,2,9,161,74,95,59,86,76,Research,100.0
36,2,8,35,88,79,59,36,96,Technology,100.0
32,5,13,145,44,99,30,65,64,Business,99.58
25,7,9,43,85,53,33,59,32,Business,75.15
25,1,23,171,81,99,45,89,95,Business,100.0
43,8,15,168,99,73,68,96,37,Research,100.0
44,6,7,62,78,40,46,59,82,Technology,96.81
38,3,21,28,96,64,60,84,52,Creative,100.0
25,6,20,157,71,89,43,79,57,Business,100.0
37,5,24,88,61,69,92,33,88,Research,100.0
31,2,18,107,50,80,78,86,55,Business,100.0
39,6,17,96,63,89,37,70,35,Technology,100.0
19,4,4,91,54,90,42,78,99,Creative,90.08
41,3,5,154,97,62,58,62,89,Research,95.09
32,7,21,158,82,52,62,53,40,Technology,100.0
21,9,9,30,59,58,41,66,71,Technology,100.0
26,3,15,155,53,74,42,42,60,Business,97.7
33,9,9,175,50,93,85,74,63,Technology,100.0
35,3,6,181,60,67,83,83,94,Creative,82.28
38,11,3,22,96,88,83,39,82,Creative,100.0
30,5,6,33,41,61,43,39,64,Technology,76.22
20,6,17,21,93,91,53,58,72,Technology,100.0
23,1,20,128,67,55,76,87,56,Business,100.0
38,10,15,171,76,45,36,54,62,Research,99.51
29,11,21,144,75,86,80,61,37,Technology,100.0
40,9,24,54,61,98,33,96,58,Technology,100.0
30,7,12,13,65,79,38,34,85,Creative,100.0
37,2,11,152,71,67,51,46,88,Business,93.4
43,9,10,54,58,50,82,97,57,Research,97.66
28,1,17,184,91,77,83,89,86,Research,100.0
43,1,18,14,59,91,83,62,79,Business,100.0
44,2,15,70,97,60,75,98,35,Business,80.44
20,6,8,181,84,82,62,79,40,Research,100.0
29,6,9,25,43,74,77,85,93,Research,100.0
28,5,18,28,62,94,55,35,33,Creative,100.0
36,11,2,26,82,82,95,63,37,Technology,100.0
21,1,11,48,56,98,73,38,66,Business,99.93
21,5,10,180,60,63,71,95,84,Creative,95.04
44,9,3,117,52,84,39,38,83,Creative,100.0
40,11,2,138,71,64,96,49,64,Research,100.0
31,1,18,182,91,68,82,97,94,Business,100.0
18,10,13,157,91,62,39,88,70,Technology,100.0
26,4,5,148,95,90,50,55,48,Technology,86.48
24,7,7,163,79,44,50,33,52,Business,88.4
30,8,9,121,58,87,75,57,97,Business,100.0
32,3,5,138,42,86,53,56,69,Research,93.89
41,8,10,13,42,73,86,78,82,Creative,100.0
37,7,13,78,70,92,91,70,86,Technology,100.0
22,9,10,177,46,78,67,90,32,Creative,81.03
36,6,15,85,77,90,65,70,98,Technology,100.0
22,9,16,164,90,53,86,76,68,Creative,100.0
41,6,21,63,60,47,45,88,60,Business,100.0
26,1,11,19,61,96,46,97,77,Creative,100.0
32,9,21,110,77,88,94,92,80,Creative,100.0
19,8,15,105,78,98,99,30,52,Business,100.0
24,9,17,171,98,80,42,99,35,Creative,100.0
32,7,1,90,42,65,44,61,97,Business,97.5
34,3,11,125,74,79,87,62,43,Business,79.66
44,3,6,130,72,88,69,94,98,Research,98.64
33,6,8,22,87,74,48,72,49,Research,89.76
41,6,19,66,76,47,36,85,96,Business,100.0
33,7,19,188,57,91,41,82,34,Research,100.0
22,9,14,78,93,95,88,62,91,Business,100.0
33,9,19,132,41,69,76,68,97,Technology,100.0
32,7,14,156,93,68,49,58,53,Business,100.0
27,9,8,71,68,49,46,95,35,Business,89.36
22,2,20,178,88,66,78,32,39,Business,95.31
42,3,16,11,99,63,67,51,55,Research,94.51
32,6,20,50,93,59,48,95,59,Technology,100.0
19,6,3,143,54,66,39,77,99,Technology,80.72
19,4,1,92,65,64,39,82,88,Business,82.36
36,5,24,31,75,73,59,54,57,Technology,100.0
34,9,4,92,40,49,65,75,61,Creative,83.35
23,6,17,83,89,66,83,79,64,Creative,100.0
32,4,9,164,65,58,46,72,70,Business,90.72
35,4,13,177,78,88,52,81,76,Creative,100.0
22,11,16,43,79,50,90,79,96,Business,100.0
43,1,11,25,57,69,77,39,67,Research,73.4
27,6,1,129,66,85,37,80,35,Research,82.35
42,7,17,197,67,72,83,66,38,Business,100.0
43,11,6,177,75,89,66,47,92,Business,100.0
28,10,13,13,61,46,90,83,97,Creative,100.0
31,6,18,130,40,77,67,58,34,Technology,100.0
27,5,18,118,86,59,64,97,98,Technology,100.0
41,10,23,162,60,97,81,54,84,Business,100.0
40,5,4,119,81,88,87,68,90,Technology,100.0
22,10,23,85,62,55,96,59,86,Research,100.0
39,9,15,174,62,52,61,75,52,Technology,100.0
35,6,22,42,69,56,61,71,39,Research,100.0
36,4,2,37,50,53,68,76,48,Business,71.77
32,1,1,28,42,49,69,76,94,Technology,78.41
35,2,19,150,93,40,63,77,77,Technology,100.0
24,8,17,80,52,44,55,78,96,Research,100.0
43,1,7,62,40,88,91,46,72,Technology,75.05
38,11,16,34,93,67,85,94,70,Research,100.0
29,3,22,166,58,58,95,70,74,Research,100.0
42,8,18,188,87,41,37,51,35,Creative,100.0
32,9,8,45,54,67,86,78,74,Business,100.0
32,4,10,76,58,42,83,93,69,Research,79.16
40,4,20,84,97,70,59,31,91,Creative,100.0
19,8,15,57,64,75,37,87,74,Business,100.0
24,10,20,108,76,58,93,73,58,Research,100.0
23,10,17,153,62,70,32,50,93,Business,100.0
21,10,5,71,81,51,71,90,42,Research,87.42
44,9,8,196,41,69,39,73,40,Research,90.08
33,1,2,187,51,90,52,47,91,Creative,93.41
42,3,6,70,40,69,74,57,50,Business,55.77
31,11,4,144,61,49,82,33,52,Research,86.3
25,1,5,72,61,45,50,64,34,Creative,65.38
41,2,16,143,64,95,88,58,47,Business,100.0
23,11,20,149,82,70,90,96,64,Research,100.0
32,1,3,196,60,90,83,59,77,Technology,85.58
21,7,15,195,74,42,98,39,54,Creative,100.0
36,11,2,83,82,64,49,77,53,Research,98.75
22,11,5,60,60,51,79,33,71,Creative,100.0
23,9,14,41,50,57,56,84,83,Business,100.0
44,9,9,191,49,61,94,93,33,Technology,94.83
32,8,12,159,61,89,76,75,43,Business,100.0
29,8,22,29,69,77,32,57,85,Business,100.0
30,2,5,186,77,41,65,83,55,Research,51.39
39,4,8,38,79,65,59,84,45,Business,94.2
28,7,16,54,98,86,85,77,56,Technology,100.0
26,3,19,46,81,56,86,37,49,Creative,100.0
24,5,23,21,88,56,93,71,58,Research,100.0
24,10,2,29,89,77,39,61,81,Research,100.0
22,4,3,46,96,79,69,85,52,Creative,90.75
41,10,7,37,88,75,42,65,55,Business,100.0
21,2,6,136,63,95,51,31,60,Research,94.41
22,6,10,177,85,63,73,89,91,Research,100.0
34,1,23,66,94,81,82,85,38,Business,100.0
36,8,17,152,81,54,92,68,42,Technology,100.0
26,8,20,91,52,55,92,73,67,Research,100.0
33,2,16,192,78,43,88,91,42,Technology,87.05
34,1,5,143,58,52,89,43,83,Creative,63.77
23,8,21,165,42,84,51,67,91,Technology,100.0
23,3,10,140,98,51,78,88,60,Technology,84.25
42,9,21,93,78,61,33,42,74,Research,100.0
27,2,17,29,91,52,83,65,30,Research,83.91
25,2,13,32,85,47,37,88,88,Technology,87.78
24,5,17,165,64,55,31,46,59,Research,100.0
31,2,13,180,60,69,50,84,69,Research,98.16
37,9,20,117,70,92,81,59,62,Technology,100.0
18,3,11,107,55,48,61,44,41,Technology,73.25
30,9,8,81,66,51,94,71,91,Research,100.0
34,1,21,94,79,62,85,35,79,Business,100.0
22,3,22,186,74,90,40,78,50,Research,100.0
23,3,24,37,41,77,66,97,78,Research,100.0
21,10,13,61,97,71,89,87,85,Research,100.0
29,8,24,123,43,77,56,38,45,Creative,100.0
29,8,23,151,84,64,63,96,53,Business,100.0
36,3,24,14,42,97,56,44,64,Creative,100.0
26,5,12,35,86,73,79,41,33,Research,92.77
39,9,2,167,42,97,50,78,91,Technology,100.0
18,4,6,152,97,97,81,75,54,Technology,85.96
23,1,11,121,83,86,97,47,50,Creative,100.0
20,6,8,160,42,79,39,81,90,Creative,100.0
40,5,24,196,84,77,98,88,31,Technology,100.0
25,3,11,117,51,78,92,93,90,Technology,85.64
40,4,12,138,94,61,69,30,94,Technology,100.0
27,6,10,158,54,56,51,67,37,Business,80.63
43,1,6,90,87,53,74,35,64,Business,81.61
31,8,15,63,66,52,60,64,89,Business,100.0
40,9,2,35,86,44,49,35,99,Research,100.0
35,2,4,26,96,53,42,36,73,Research,89.7
32,3,17,172,58,59,64,61,77,Creative,100.0
25,8,17,80,82,89,94,61,65,Technology,100.0
22,4,8,196,55,67,45,91,33,Technology,93.34
43,2,3,145,63,54,72,60,74,Business,71.2
42,3,10,155,89,44,68,89,72,Business,93.04
30,7,5,103,45,95,33,52,35,Creative,79.46
43,9,5,15,87,95,92,96,40,Research,100.0
34,4,4,90,80,58,34,61,99,Research,89.86
33,7,11,12,48,99,43,47,52,Business,100.0
36,5,15,125,62,69,54,57,54,Business,96.98
26,9,14,108,91,87,39,40,50,Business,100.0
30,7,23,135,41,51,71,83,45,Technology,100.0
32,10,12,197,52,43,31,88,56,Research,100.0
32,8,7,120,94,85,92,41,42,Business,100.0
34,8,4,17,44,65,65,57,76,Creative,89.06
22,7,16,23,49,46,81,66,58,Research,100.0
37,3,13,115,60,76,56,84,58,Creative,95.05
42,6,4,139,61,71,45,47,98,Business,98.23
40,2,13,180,93,68,51,81,81,Research,99.77
21,9,7,156,77,45,86,49,38,Creative,87.3
37,7,11,174,61,97,97,73,63,Technology,100.0
27,9,10,104,46,43,48,60,64,Technology,100.0
38,2,20,147,41,41,89,46,45,Creative,86.03
31,7,21,168,82,63,30,40,33,Research,100.0
19,10,24,13,83,58,55,69,79,Research,100.0
28,3,12,36,88,93,95,78,45,Business,89.04
23,9,10,197,81,79,71,76,66,Business,100.0
33,6,20,116,66,80,63,61,95,Creative,100.0
26,10,2,185,59,78,89,95,94,Research,93.99
21,8,22,164,41,70,86,95,58,Research,100.0
24,8,21,147,85,53,47,43,63,Creative,100.0
43,6,24,45,84,75,51,90,85,Technology,100.0
37,2,6,160,71,84,45,88,98,Creative,92.22
38,8,19,149,55,56,43,90,75,Creative,100.0
22,11,20,96,79,98,72,60,46,Creative,100.0
36,6,23,41,79,52,64,34,58,Business,100.0
19,5,8,138,59,83,68,83,58,Business,100.0
43,3,20,55,42,40,87,82,30,Technology,93.08
25,3,1,140,99,74,98,49,68,Creative,82.02
36,6,19,111,66,84,72,42,42,Creative,100.0
32,5,13,95,82,58,71,55,52,Research,100.0
30,9,20,193,58,87,68,80,41,Research,100.0
43,10,11,47,73,82,48,93,35,Business,100.0
37,6,17,179,67,40,88,81,76,Creative,100.0
36,5,5,55,92,63,42,83,86,Creative,100.0
39,4,11,58,46,85,40,83,74,Research,100.0
42,10,22,38,58,72,65,43,64,Business,100.0
34,3,16,167,91,68,74,80,76,Technology,100.0
23,7,10,16,61,56,70,39,86,Research,98.67
33,2,6,61,72,40,82,89,63,Creative,61.58
43,4,1,80,69,89,90,64,37,Technology,81.91
41,3,4,187,91,98,72,56,61,Business,92.04
33,3,15,196,70,43,66,46,68,Creative,89.79
31,10,16,48,80,43,59,59,51,Research,100.0
24,1,23,99,84,45,99,73,53,Business,92.11
36,5,18,104,76,69,71,62,41,Business,96.23
39,5,12,38,72,82,91,44,31,Creative,100.0
24,5,12,191,57,42,36,72,67,Technology,87.68
44,2,4,122,73,68,51,95,73,Research,67.8
23,10,23,194,60,94,45,43,68,Creative,100.0
34,9,13,159,71,44,98,71,82,Creative,100.0
44,10,7,131,54,46,58,32,39,Creative,94.34
29,6,13,102,58,42,37,37,76,Creative,86.61
36,5,3,54,47,62,45,96,38,Creative,64.98
24,7,6,178,61,63,73,30,39,Research,83.02
33,8,24,122,64,89,41,89,55,Business,100.0
42,7,11,143,86,44,72,54,47,Business,96.36
30,11,14,37,57,98,89,92,86,Creative,100.0
32,9,8,77,85,96,96,55,37,Business,100.0
33,8,16,103,84,52,98,54,49,Business,100.0
27,7,13,123,86,51,84,48,64,Research,100.0
38,10,14,23,93,84,73,94,80,Research,100.0
40,11,1,156,67,98,81,78,66,Business,100.0
20,2,3,177,55,77,83,51,45,Creative,60.57
